player,player_jp,date,opponent,opponent_jp,event,level,IP,H,K,BB,ER,ERA,K9,BB9,WHIP,pitches,max_velo_kmh,max_velo_mph,verified,source_note
Shoki Oda,織田翔希,2026-03-20,Kamimura Gakuen,神村学園,Spring Koshien,HS National,7.667,7,5,1,2,2.35,5.87,1.17,1.04,,,,verified,Tournament records
Shoki Oda,織田翔希,2026-04-18,Kamakura Gakuen,鎌倉学園,Kanagawa Prefectural,HS Prefectural,8.000,6,7,0,2,2.25,7.88,0.00,0.75,,,,verified,Tournament records
Shoki Oda,織田翔希,2026-04-25,Toin Gakuen,桐蔭学園,Kanagawa Prefectural,HS Prefectural,9.000,5,10,1,0,0.00,10.00,1.00,0.67,114,,,verified,Complete-game shutout
Shoki Oda,織田翔希,2026-05-18,Kendai Takasaki,健大高崎,Kanto Regional,HS Regional,7.333,5,7,1,3,3.68,8.59,1.23,0.82,,,,verified,Tournament records
Shoki Oda,織田翔希,2026-05-23,Yamanashi Gakuin,山梨学院,Kanto Regional,HS Regional,2.000,2,1,0,1,4.50,4.50,0.00,1.00,,,,verified,Tournament records
Shoki Oda,織田翔希,2026-05-24,Urawa Gakuin,浦和学院,Kanto Regional Final,HS Regional,1.000,1,0,0,0,0.00,0.00,0.00,1.00,13,154,95.7,verified,9 of 13 pitches over 150 kmh
Shoki Oda,織田翔希,2026-07-XX,Keio,慶応,Kanagawa Summer Semifinal,HS Prefectural,,,,,,,,,,,157,97.6,reported,No-hit no-run per single secondary source; IP not published
Shoki Oda,織田翔希,2026-07-26,Toko Gakuen,桐光学園,Kanagawa Summer Final,HS Prefectural,9.000,,,,1,1.00,,,,130,157,97.6,partial,Complete game 1 run; H/K/BB not published. Pitched through left leg injury
Shoki Oda,織田翔希,2026-08-XX,Okinawa Shogaku,沖縄尚学,Summer Koshien R1,HS National,8.667,,12,,2,2.08,12.46,,,,,,reported,Single secondary source
Shoki Oda,織田翔希,2026-08-XX,Nichinan Gakuen,日南学園,Summer Koshien,HS National,3.000,,,,0,0.00,,,,,,,reported,Relief appearance; single secondary source
Shoki Oda,織田翔希,2026-08-18,Hanamaki Higashi,花巻東,Summer Koshien QF,HS National,9.000,7,10,,0,0.00,10.00,,,,156,96.9,verified,Complete-game shutout 6-0; 156 kmh recorded 7 times
Shoki Oda,織田翔希,2026-08-20,Chiben Wakayama,智辯和歌山,Summer Koshien SF,HS National,2.333,8,,,4,15.43,,,,,154,95.7,verified,Loss 1-7; one day of rest; 3-run HR allowed on 152 kmh pitch
