rank,name,name_jp,reading,position,school,school_jp,school_type,height_in,height_cm,weight_lb,weight_kg,peak_velo_mph,peak_velo_kph,key_metric,notes
1,Shoki Oda,織田翔希,おだ しょうき,RHP,Yokohama HS,横浜高校,High school,73,185,168,76,97.6,157,"35.0 IP / 30 K / 3 BB (2026 spring)","Fastest pitch recorded at Koshien (96.9 mph / 156 kph), hit seven times in one game. Velocity up every year. Reported to be weighing a direct MLB contract over the NPB draft."
2,Ryosuke Sueyoshi,末吉良丞,すえよし りょうすけ,LHP,Okinawa Shogaku HS,沖縄尚学高校,High school,69,175,196,89,93.8,151,"2025 summer Koshien champion (ace)","Won the national title as a second-year, then started the U-18 World Cup final. The most decorated résumé in the class. Thick lower half, late life on the fastball."
3,Haruki Komoda,菰田陽生,こもだ はるき,RHP/1B,Yamanashi Gakuin HS,山梨学院高校,High school,76,194,220,100,94.4,152,"33 HS home runs (two-way)","6-foot-4 and 220 pounds at 18. Started all four games of a 2025 summer Koshien semifinal run and hits cleanup. Which side he plays in pro ball is an open question."
4,Taisei Suzuki,鈴木泰成,すずき たいせい,RHP,Aoyama Gakuin Univ,青山学院大学,University,74,187,203,92,95.7,154,"2,700 rpm fastball","Tohto League Most Valuable Pitcher. Moved from the bullpen to the rotation and is the highest-rated college arm in the class."
5,Kai Watabe,渡部海,わたべ かい,C,Aoyama Gakuin Univ,青山学院大学,University,71,180,194,88,,,"1.85 s pop time","Elite arm by any league's standard - MLB average pop time is around 2.00 s. Won a national title in high school at Chiben Wakayama, four straight Tohto titles in college, national team selection."
6,Kosei Hiroike,広池浩成,ひろいけ こうせい,RHP,Keio Univ,慶應義塾大学,University,71,180,187,85,96.9,156,"156 kph in the bullpen (~153 in games)","Vice-captain at Keio. Father is a former NPB pitcher and currently a Seibu Lions front-office executive."
7,Kansuke Yoshioka,吉岡貫介,よしおか かんすけ,RHP,Osaka Toin HS,大阪桐蔭高校,High school,69,175,170,77,95.1,153,"2,600 rpm fastball","5-foot-9 and throws 95 with high spin. Comparisons in Japan run to Kaima Taira. Small for the profile, which is the entire scouting question."
8,Shin Higuchi,樋口新,ひぐち しん,LHP,Oji Corporate,王子,Corporate league,70,178,185,84,93.8,151,"Best ERA in his rookie corporate season","The top left-hander in the corporate ranks. Threw a nine-inning shutout in the 2025 Intercity Championship. Closest thing in this class to a finished product."
9,Hinata Fukushima,福島陽奈汰,ふくしま ひなた,SS,Tokai Univ Kumamoto Seisho HS,東海大学付属熊本星翔高校,High school,69,175,161,73,90.7,146,"50 m in 6.1 s; .571 at Koshien","Arm strength measured off the mound at 146 kph. Hit .571 in the 2025 summer national tournament. The best up-the-middle athlete among the high schoolers."
10,Mahiro Sugimoto,杉本真滉,すぎもと まひろ,LHP,Chiben Gakuen HS,智辯学園高校,High school,70,177,185,84,92.6,149,"2026 Senbatsu runner-up","Strikeout left-hander who also plays the outfield. Carried Chiben Gakuen to the spring national final."
11,Ryo Tanaka,田中諒,たなか りょう,C,Nichidai San HS,日本大学第三高校,High school,71,180,220,100,,,"30 HS home runs","Captain and catcher, 220 pounds. Hit .364 with two home runs in the 2025 summer national tournament as his team finished runner-up. Right-handed power in a low-bounce-bat era."
12,Gaku Arima,有馬伽久,ありま がく,LHP,Ritsumeikan Univ,立命館大学,University,69,175,170,77,93.8,151,"10 consecutive strikeouts (Meiji Jingu tournament)","Short left-hander with a two-seamer Japanese scouts call a trick pitch. The strikeout run at the national college tournament is the calling card."
13,Yuto Yonezawa,米沢友翔,よねざわ ゆうと,LHP,Kansai Univ,関西大学,University,71,180,176,80,92.6,149,,"Left-hander out of the Kansai Big Six. Compared domestically to Yuki Kanamaru."
14,Keigo Okada,岡田啓吾,おかだ けいご,2B,Meiji Univ,明治大学,University,69,175,170,77,,,"50 m in 5.69 s","The fastest time recorded since Japan's college national team began using optical timing - faster than the Japanese track record for the distance. Leadoff second baseman."
15,Masato Shibazaki,柴崎聖人,しばざき まさと,OF,Oji Corporate,王子,Corporate league,,,,,,,".311/.384/.402 in college; 50 m in 5.9 s","Rookie-of-the-year award in the corporate league. Plays all three outfield spots. Over 100 career hits at Osaka University of Economics."
16,Daito Furuki,古城大翔,ふるき だいと,3B,Hanamaki Higashi HS,花巻東高校,High school,71,180,207,94,,,"25 HS home runs","Captain at Ohtani's and Kikuchi's high school. Takes batting practice with a wood bat, which is unusual at this level in Japan. Father is a former NPB infielder."
17,Nanato Sakakibara,榊原七斗,さかきばら ななと,OF,Meiji Univ,明治大学,University,68,173,168,76,,,".842 OPS; 11 career HR","Two-way player in high school who touched 145 kph; that arm now plays in center. Vice-captain at Meiji."
18,Akito Haruyama,春山陽登,はるやま あきと,OF,Osaka Univ of Commerce,大阪商業大学,University,70,177,201,91,,,"10 league home runs; 3 HR in one game","Right-handed power bat in the Kansai Big Six. The conference career home run record is 12."
