name_jp,name_en,type,prefecture,notable_alumni_mlb,notable_alumni_npb,anchor_note
花巻東,Hanamaki Higashi,High school,Iwate,"Shohei Ohtani; Yusei Kikuchi","Rintaro Sasaki (chose Stanford over the 2023 NPB draft)","The strongest single MLB anchor in Japanese high school baseball. Any player from here has an instant English-language hook"
横浜,Yokohama,High school,Kanagawa,Daisuke Matsuzaka,"Many; school Koshien record is Matsuzaka's 11 wins","Matsuzaka's 250-pitch complete game in 1998 is the most famous game in Koshien history"
愛工大名電,Aikodai Meiden,High school,Aichi,Ichiro Suzuki,-,"Ichiro's alma mater"
東北,Tohoku,High school,Miyagi,Yu Darvish,-,"Darvish's alma mater"
駒大苫小牧,Komadai Tomakomai,High school,Hokkaido,Masahiro Tanaka,-,"Tanaka's alma mater; back-to-back Koshien titles 2004-2005"
大船渡,Ofunato,High school,Iwate,Roki Sasaki,-,"Sasaki was famously held out of the 2019 prefectural final to protect his arm"
桐光学園,Toko Gakuen,High school,Kanagawa,Yuki Matsui,-,"Matsui struck out 22 in a single Koshien game in 2012"
大阪桐蔭,Osaka Toin,High school,Osaka,Shintaro Fujinami,"Sho Nakata; Kyota Fujiwara","The most consistently dominant program of the last two decades. Comparable in role to a US national prep powerhouse"
仙台育英,Sendai Ikuei,High school,Miyagi,-,Many,"2022 summer Koshien champion; first title to reach Tohoku"
智辯和歌山,Chiben Wakayama,High school,Wakayama,-,Many,"Traditional national power"
広陵,Koryo,High school,Hiroshima,-,Many,"Traditional national power"
履正社,Riseisha,High school,Osaka,-,Many,"Osaka's other national power alongside Osaka Toin"
沖縄尚学,Okinawa Shogaku,High school,Okinawa,-,-,"Okinawa's leading program"
健大高崎,Kendai Takasaki,High school,Gunma,-,-,"Known for aggressive baserunning; full name Takasaki Health Welfare University Takasaki HS"
山梨学院,Yamanashi Gakuin,High school,Yamanashi,-,-,-
日大三,Nichidai San,High school,Tokyo,-,Many,"Nihon University Third HS"
明徳義塾,Meitoku Gijuku,High school,Kochi,-,Many,"Famously walked Matsui intentionally five times in 1992"
早稲田大,Waseda University,University,Tokyo,-,Many,"Tokyo Big6"
慶應義塾大,Keio University,University,Tokyo,-,Many,"Tokyo Big6"
明治大,Meiji University,University,Tokyo,-,Many,"Tokyo Big6"
法政大,Hosei University,University,Tokyo,-,Many,"Tokyo Big6"
東洋大,Toyo University,University,Tokyo,-,Many,"Tohto League"
亜細亜大,Asia University,University,Tokyo,-,Many,"Tohto League"
青山学院大,Aoyama Gakuin University,University,Tokyo,-,Many,"Tohto League"
創価大,Soka University,University,Tokyo,-,Many,"Tohto League"
日本体育大,Nippon Sport Science University,University,Tokyo,-,Many,-
東海大,Tokai University,University,Kanagawa,-,Many,-
